Condition,Dataset,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,correct
Ctrl,5,51,Ctrl_5_170.5_187.3,170.5,187.3,355.2083333333333,390.2083333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_184.7_156.3,184.7,156.3,384.7916666666667,325.625,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_206.4_141,206.4,141,430,293.75,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_240.5_167.3,240.5,167.3,501.0416666666667,348.5416666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_218.8_213.1,218.8,213.1,455.8333333333333,443.9583333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_156.9_157.5,156.9,157.5,326.875,328.125,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_264.3_178.8,264.3,178.8,550.625,372.5,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_238.1_149,238.1,149,496.0416666666667,310.4166666666667,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_191.8_167.4,191.8,167.4,399.5833333333333,348.75,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_108.3_326.5,108.3,326.5,225.625,680.2083333333334,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_90_299,90,299,187.5,622.9166666666666,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_206.9_97.3,206.9,97.3,431.0416666666667,202.70833333333334,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_158.9_209.2,158.9,209.2,331.0416666666667,435.8333333333333,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_217.6_162,217.6,162,453.3333333333333,337.5,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_150.7_129.2,150.7,129.2,313.9583333333333,269.1666666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_188.4_171.5,188.4,171.5,392.5,357.2916666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_192.6_162.7,192.6,162.7,401.25,338.9583333333333,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_261.1_160.9,261.1,160.9,543.9583333333334,335.2083333333333,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_117.2_311.4,117.2,311.4,244.16666666666666,648.75,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_277.5_146.3,277.5,146.3,578.125,304.7916666666667,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_192.5_173.9,192.5,173.9,401.0416666666667,362.2916666666667,1,ClickHighDeg,12,FALSE
